epoch,train_loss,val_loss,train_acc,val_acc
1,2.1602852196273408,2.0121284561852613,0.3507293354943274,0.40369393139841686
2,1.801359884479503,1.6267474194367726,0.4453808752025932,0.5382585751978892
3,1.3957007292638788,1.2123221183816593,0.5743922204213938,0.6094986807387863
4,1.0962302422276433,1.0639524683356285,0.6508914100486224,0.6464379947229552
5,0.9339338201315291,0.9018064032619199,0.6991896272285251,0.7282321899736148
6,0.8715158625279066,0.9408764013399681,0.7228525121555915,0.7176781002638523
7,0.7833744159325416,0.8320489252607027,0.746515397082658,0.7335092348284961
8,0.7425667370230423,0.7464111801236868,0.7591572123176661,0.8021108179419525
9,0.6895907769857911,0.73189693937699,0.7782820097244733,0.7704485488126649
10,0.6403842862560342,0.6216197578857342,0.7925445705024311,0.8073878627968337
11,0.665647576741604,0.6452061842816571,0.7847649918962722,0.820580474934037
12,0.5580557805577708,0.6467769054385523,0.8181523500810373,0.820580474934037
13,0.5654103730472259,0.572799058087791,0.8223662884927067,0.8311345646437994
14,0.5075382448231001,0.6523605061229318,0.8414910858995138,0.8100263852242744
15,0.48849272820616013,0.9787334210122935,0.8440842787682334,0.7810026385224275
16,0.4861058098278515,0.5212812374423569,0.8525121555915721,0.841688654353562
17,0.4673918673064116,0.467697843152564,0.853808752025932,0.8654353562005277
18,0.41008735772396,0.5228250592481345,0.8761750405186386,0.8311345646437994
19,0.39637504023900305,0.48506806534714997,0.8820097244732577,0.8733509234828496
20,0.39075644213918576,0.4882595342739175,0.8774716369529983,0.8654353562005277
