8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,98,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0
1,3,0,1,0,16,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,2,24,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
0,1,0,0,0,0,0,2,0,0,0,0,0,0,27,0,0
0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
