epoch,train_loss,val_loss,train_acc,val_acc
1,1.0361942716058672,0.576614033159179,0.6949756888168558,0.8496042216358839
2,0.5574517552330704,0.6193415746449015,0.8217179902755267,0.7757255936675461
3,0.42622410704820884,0.27456908466895885,0.86677471636953,0.9261213720316622
4,0.3581879551237729,0.568966333742234,0.8852512155591572,0.8232189973614775
5,0.3195392755752941,0.5900708344731053,0.8949756888168557,0.841688654353562
6,0.3050727587400747,0.39392936171255616,0.8985413290113452,0.899736147757256
7,0.26657260565685564,0.27314632249908755,0.9166936790923825,0.920844327176781
8,0.22100613974613847,0.2387181935328234,0.9270664505672609,0.9287598944591029
9,0.19909074025257573,0.24032370288932725,0.9354943273905997,0.9261213720316622
10,0.16736065395118505,0.405456790631528,0.9426256077795786,0.8891820580474934
