epoch,train_loss,val_loss,train_acc,val_acc
1,0.8696618619823703,0.8587690596711278,0.7445705024311183,0.7704485488126649
2,0.4705951282551869,0.6122630930040032,0.852836304700162,0.8311345646437994
3,0.37039888542087585,0.3507986784679815,0.8842787682333874,0.8812664907651715
4,0.25093216869323826,0.2938855795813045,0.9186385737439222,0.9340369393139841
5,0.2162272319019111,0.2682003575425765,0.9322528363047001,0.9102902374670184
6,0.21604829237053239,0.2372674000293197,0.9283630470016208,0.9261213720316622
7,0.1945107931372531,0.24331167119173833,0.9384116693679092,0.9313984168865436
8,0.190770653797883,0.26566659020318184,0.9387358184764992,0.9287598944591029
9,0.11721513071821259,0.20228069150853875,0.9614262560777957,0.9366754617414248
10,0.1305237132862905,0.264680030376572,0.9591572123176662,0.9234828496042217
