epoch,train_loss,val_loss,train_acc,val_acc
1,1.065102597437992,1.0023686271500385,0.6946515397082658,0.7493403693931399
2,0.5900865610824039,0.8205960327128802,0.8142625607779579,0.7704485488126649
3,0.4865866492989767,0.48262280671951885,0.847001620745543,0.8733509234828496
4,0.3701501973166367,0.4179332678904757,0.879416531604538,0.8918205804749341
5,0.3056312343443459,0.3826042296192706,0.8949756888168557,0.8812664907651715
6,0.3194528606893987,0.4463407099586523,0.8998379254457051,0.8970976253298153
7,0.24664380267223854,0.230624686326261,0.9170178282009724,0.9261213720316622
8,0.23964363286377852,0.26230696277101134,0.9209076175040518,0.9182058047493403
9,0.25703187411834383,0.3438923994350868,0.9166936790923825,0.899736147757256
10,0.21133436340780765,0.2379475130279952,0.926742301458671,0.9234828496042217
