run_name,model_name,seed,test_loss,accuracy,f1_macro,false_alarm_rate,precision_weighted,recall_weighted,f1_weighted
ablation_no_augmentation,resnet18,42.0,0.15128232752480472,0.9395465994962217,0.9082127223910852,0.060453400503778336,0.9476620209889401,0.9395465994962217,0.9392680717886659
baseline_resnet18,resnet18,42.0,0.21372623429924714,0.924433249370277,0.8890480496372353,0.07556675062972293,0.9352466146567064,0.924433249370277,0.9260276308828107
ablation_low_resolution,resnet18,42.0,0.20813388717557246,0.9193954659949622,0.9025844182771547,0.08060453400503778,0.9291774985862488,0.9193954659949622,0.9200158328817972
,,,,,,,,,
